designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 5966503971303369984",5966503971303369984,253.48841556411492,-41.87371774956349,-0.10570319523239982,-2.345361128639966,-3.481855934956673,1.0714728,19.352074,3.343052,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503971303371520",5966503971303371520,253.48998902106717,-41.87440725847429,0.14860578206560568,-4.7920381444831195,-7.793047891884325,0.8725278,17.87955,3.468151,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4544.2314,4.1014,0.1663,593.1246,6.1815,4.0664,2.2543
"Gaia DR3 5966503971303372416",5966503971303372416,253.49078072024238,-41.879724340241324,0.5529496709665376,-0.9012445920448124,-2.0657207192164497,1.0463024,12.729168,0.5008898,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,7169.7856,3.5116,-0.765,2090.3904,0.2717,0.2431,0.1309
"Gaia DR3 5966503971303373312",5966503971303373312,253.491403636998,-41.87066458665379,0.5213786307694762,-0.26075246125419993,-2.5673125719187047,1.057402,18.187876,2.1913452,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3828.2932,4.7346,-0.2646,571.8125,1.3092,0.8931,0.5068
"Gaia DR3 5966503971303376000",5966503971303376000,253.49395013160395,-41.869774086360344,0.1911913334034337,0.28468338097889595,-2.280014812359103,0.9950873,19.825842,2.682455,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503971303378304",5966503971303378304,253.49617068232172,-41.87275626727112,0.7493413588006257,-0.5206699050056928,-2.23656343877868,1.1130202,16.86112,1.865818,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4631.1924,4.3961,-1.1043,780.7403,1.7377,1.2897,0.7006
"Gaia DR3 5966503971303379328",5966503971303379328,253.49702669833522,-41.87368530028327,0.3132358722271657,-1.046369084016851,0.828986121000326,0.9433676,18.798826,3.3945236,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3913.8477,4.079,-0.7696,348.8466,7.2826,4.5192,2.5966
"Gaia DR3 5966503975592712960",5966503975592712960,253.49066464876836,-41.87288508686625,0.2619964475940403,3.8181637319545687,5.000801705466923,0.9619498,18.062328,1.8583069,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 5966503975592715136",5966503975592715136,253.493223183235,-41.87009605791584,,,,,20.130615,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975592715264",5966503975592715264,253.49357710767097,-41.87017611483224,2.1296233540730456,-8.279548978274349,-7.62490236757369,1.7031229,19.724995,3.1334667,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
